row_no,company_name,prefecture,municipality,official_site,source_url,public_email,form_status,contact_form_url,form_type,external_form,evidence,homepage_status,resolved_homepage,candidate_count,scanned_at
433,（株）村田工務店,埼玉県,さいたま市岩槻区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=19,m-k@eos.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228047+00:00
434,（株）善前建設,埼玉県,川口市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=25,zen890you@ybb.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228056+00:00
435,（株）スマイルハウス,埼玉県,狭山市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=25,info@smile-ie.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228065+00:00
436,（株）トラスト,埼玉県,北足立郡伊奈町,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=25,info@tic-web.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228098+00:00
437,（株）アイホームコンサルティング,埼玉県,越谷市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=27,takahisa.inoue@i-home-consulting.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228108+00:00
438,（有）山善宅建,埼玉県,北足立郡伊奈町,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=27,yamazen-tk@jcom.home.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228117+00:00
439,（株）マルシンハウス,埼玉県,さいたま市見沼区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=27,marusinhausu@pearl.bforth.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228126+00:00
440,アサヒハウジング（株）,埼玉県,鶴ヶ島市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=27,asahi.mail@mx4.alpha-web.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228134+00:00
441,（株）福山興産,埼玉県,さいたま市北区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=27,iinfo@fkweb.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228143+00:00
442,（株）エスクローホーム,埼玉県,北葛飾郡杉戸町,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=28,koba@escrowhome.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228152+00:00
443,（有）イシカワ住建,埼玉県,北葛飾郡松伏町,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=28,kenzai4510@river.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228160+00:00
444,（有）不動産情報センター,埼玉県,大里郡寄居町,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=28,ichikawa-c@poppy.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228169+00:00
445,（有）オーシャン企画,埼玉県,所沢市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=28,csm@vivid.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228267+00:00
446,（株）ミクニ不動産,埼玉県,草加市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=28,mikunifudousan@ray.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228280+00:00
447,（有）ダイシン・コンサルタント,埼玉県,さいたま市北区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=28,daishin@kpd.biglobe.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228290+00:00
448,ジーエー・システム（株）,埼玉県,川口市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=11&pg=28,gas-h.tsuchiya@lake.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228298+00:00
449,（株）ワイズホーム,千葉県,千葉市花見川区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,info@wise-home.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228307+00:00
450,ハウジングサーフ（株）,千葉県,千葉市稲毛区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,h-surf@galaxy.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228315+00:00
451,（株）育栄,千葉県,富里市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,iquei1981@ybb.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228324+00:00
452,半田コンサルティング（株）,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,handa-consul@ab.auone-net.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228336+00:00
453,（有）京葉地所,千葉県,松戸市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,keiyoujisyo@kxa.biglobe.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228353+00:00
454,志成ライフパートナーズ（株）,千葉県,船橋市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,sslp0830@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228362+00:00
455,みのるハウジング（株）,千葉県,松戸市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,info@minoruh.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228371+00:00
456,（有）フジミホーム,千葉県,八千代市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,fujimi@fine.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228380+00:00
457,クレール（同）,千葉県,鎌ケ谷市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12,clair.20180627@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228390+00:00
458,エム・ティー・エム興産（株）,千葉県,市川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=2,info@mtm-kohsan.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228398+00:00
459,（株）宅,千葉県,松戸市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=2,moqtf70635@yahoo.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228406+00:00
460,ミレニアムプロジェクト（有）,千葉県,市川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=2,trance@mbn.nifty.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228415+00:00
461,エスプラス（株）,千葉県,船橋市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=2,funafudo@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228424+00:00
462,縁（同）,千葉県,市川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=2,info@enishire.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228433+00:00
463,（株）ベイシティ,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=2,info@gladiehome.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228441+00:00
464,（株）八為,千葉県,松戸市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=2,sonoda700@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228449+00:00
465,（有）三和不動産,千葉県,東金市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=3,sanwa-f@sea.plala.or.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228458+00:00
466,ブルーホライズン（同）,千葉県,市川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=3,info@bhc-jpn.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228466+00:00
467,（株）リバシーハウジング,千葉県,千葉市若葉区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=3,info@hc-iso.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228475+00:00
468,（株）ＥＸ不動産,千葉県,四街道市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=3,h.kinoshita@exre.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228484+00:00
469,（株）ＳＵＴＥＲＡ,千葉県,八千代市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=3,info@suterajp.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228515+00:00
470,（株）エアポートエステート,千葉県,香取郡多古町,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=3,hanayon3@rakuten.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228525+00:00
471,中央地所（有）,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=3,chuou@chuouzisho.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228560+00:00
472,（株）ＴＦＡ,千葉県,船橋市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,tfa@gmail.plala.or.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228573+00:00
473,（株）吉英,千葉県,四街道市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,info@kichiei.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228582+00:00
474,（有）雄貴不動産,千葉県,浦安市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,yukif@olive.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228591+00:00
475,（株）クローバーホーム,千葉県,八千代市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,info-midorigaoka@clover-home.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228600+00:00
476,（株）光不動産,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,n.chinatsu58@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228609+00:00
477,（株）誠進不動産,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,s_saito333@nifty.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228775+00:00
478,（株）スマイルホーム,千葉県,山武郡横芝光町,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,info@smile-home.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228790+00:00
479,（株）けやき建設,千葉県,八街市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,keyaki@keyakikensetsu.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228799+00:00
480,（有）フリッパー,千葉県,佐倉市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=4,flipper6616@citrus.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228808+00:00
481,（株）ほがらか不動産,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,hogaraka@df6.so-net.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228817+00:00
482,（株）リベスト,千葉県,千葉市若葉区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,li-best@kj8.so-net.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228826+00:00
483,（株）ひまわりハウス,千葉県,船橋市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,himawarihouse@r4.dion.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228834+00:00
484,（株）ＹＥＳ,千葉県,野田市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,info@yes-noda.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.228931+00:00
485,（株）Ａｅｒｉａｌ,千葉県,浦安市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,urayasu@aerial-re.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229057+00:00
486,（株）ライフステージ,千葉県,茂原市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,m.yakushijin@life-stage5.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229071+00:00
487,（同）Ｙｕｉ企画,千葉県,印西市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,yuikikaku@khh.biglobe.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229080+00:00
488,（株）アイキュウプランニング,千葉県,松戸市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,info@i-kyu.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229090+00:00
489,日生住販（株）,千葉県,富里市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=5,nissei@aquamarine.bforth.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229099+00:00
490,ルートシップスコンサルティングス（株）,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=6,so-dan@rscz.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229108+00:00
491,（株）アイン,千葉県,船橋市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=6,info@ain-01.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229117+00:00
492,（株）ＴＯＴＡＬ ＡＳＳＥＴ,千葉県,東金市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=6,info@total-asset.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229125+00:00
493,青葉ハウジング,千葉県,東金市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=6,aobahousing@sea.plala.or.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229134+00:00
494,（有）てんとうむ真,千葉県,佐倉市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=6,tentoumusin@yahoo.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229143+00:00
495,（株）征和ハウジメント,千葉県,松戸市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=6,ayu07nao25@yahoo.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229151+00:00
496,ハウスランド（株）,千葉県,浦安市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=6,shi.mi.zu.se.5963@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229160+00:00
497,（有）ケンハウジング,千葉県,千葉市稲毛区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=7,ken-housing@kohsho-p.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229169+00:00
498,（株）第一ホーム佐倉,千葉県,佐倉市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=7,info@daiichi-sakura.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229177+00:00
499,富士興地所（株）,千葉県,八千代市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=7,fujikojisho@muc.biglobe.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229186+00:00
500,（株）アーチ,千葉県,流山市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=7,arch01@arch-tx.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229194+00:00
501,安沢不動産コンサルティング（株）,千葉県,船橋市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=7,anzawa@property-consul.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229203+00:00
502,（株）海渡,千葉県,大網白里市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=7,fudousan.kaito@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229267+00:00
503,松千代不動産（株）,千葉県,木更津市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=7,info@matsuchiyo-f.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229286+00:00
504,江北商事（株）,千葉県,市川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=7,myouden@kouhokusyouji.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229295+00:00
505,（株）ネクストライフ,千葉県,茂原市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=8,nojima@nextlife-estate.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229304+00:00
506,（有）ハートランド住販,千葉県,市川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=8,heart.land@at.wakwak.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229313+00:00
507,（株）城西ハウジング,千葉県,東金市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=8,jyousai-h.c@sea.plala.or.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229322+00:00
508,合同会社オフィス・プレジデント,千葉県,柏市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=8,info@president-group.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229330+00:00
509,（有）エステートタムラ,千葉県,船橋市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=8,esute-to_tamura13808@mbr.nifty.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229339+00:00
510,アート住宅設計（株）,千葉県,市原市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=8,cocochanart@yahoo.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229348+00:00
511,（株）中央合同事務所,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=8,info@nouten.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229356+00:00
512,（同）ＷＡＫＩＺ,千葉県,富津市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=8,info@wakiz.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229365+00:00
513,ＢｅＬＬ不動産,千葉県,東金市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=9,bell.hudousan@leaf.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229373+00:00
514,（株）ハウスパートナー,千葉県,市川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=9,house-partner@muse.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229382+00:00
515,（株）ホームビルダー,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=9,builder.3711@jcom.zaq.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229391+00:00
516,（株）メープルリンク,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=9,ohno@maple-link.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229400+00:00
517,グリーン住宅販売,千葉県,流山市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=9,ksg@spice.ocn.ne.bp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229601+00:00
518,（株）エコック,千葉県,市川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=9,info@eco-ch.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229619+00:00
519,（株）アイザック,千葉県,柏市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=10,isaac-co@bz03.plala.or.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229631+00:00
520,（有）Back・up,千葉県,千葉市中央区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=10,back-up@cpost.plala.or.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229640+00:00
521,オカサン住宅販売（株）,千葉県,柏市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=10,info@okasan-jutaku.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229649+00:00
522,（株）Hope Home,千葉県,船橋市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=10,info@hopehome.biz,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229658+00:00
523,（株）首都圏サポート,千葉県,市原市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=10,syutoken-support@able.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229667+00:00
524,（有）市光建設,千葉県,松戸市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=12&pg=10,y_takada@ichikou-kensetsu.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229675+00:00
525,あさひ不動産コンサルタント（株）,東京都,千代田区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=64&s=,o.takahashi@asahifudosan-tokyo.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229684+00:00
526,あゆむ不動産（株）,東京都,品川区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=53&s=,r.takahashi@ayumure.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229692+00:00
527,あんしん不動産（株）,東京都,豊島区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=39&s=,toukeikyou@yahoo.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229701+00:00
528,いい不動産,東京都,渋谷区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=55&s=,info@baibai0.work,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229710+00:00
529,うさぎ（株）,東京都,千代田区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=79&s=,ichinose@forestocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229719+00:00
530,さくら不動産（株）,東京都,豊島区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=103&s=,sakurafudosan1103@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229728+00:00
531,しんび不動産,東京都,立川市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=84&s=,sensin@yel.m-net.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229736+00:00
532,ちどり館（株）,東京都,大田区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=92&s=,knnsr777@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229745+00:00
533,なかざわ,東京都,台東区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=111&s=,na4rokeiko@yahoo.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229753+00:00
534,みなと土地建物（株）,東京都,港区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=101&s=,sakai@avanti-style.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229762+00:00
535,よこやま商事（株）,東京都,中野区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=49&s=,yokoyama.shoji.7417@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229797+00:00
536,アイエスシー（株）,東京都,千代田区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=61&s=,azh@isccl.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229807+00:00
537,アイテルプランニング（株）,東京都,板橋区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=40&s=,aiterup@nifty.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229817+00:00
538,アイリプランニング（株）,東京都,東大和市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=59&s=,airi.p.honma@gmail.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229826+00:00
539,アクアホーム（株）,東京都,渋谷区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=55&s=,aquahome@sweet.ocn.ne.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229834+00:00
540,アクシスホーム（株）,東京都,日野市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=111&s=,axishomekabu@aol.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229843+00:00
541,アクセル（株）,東京都,八王子市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=68&s=,info@axelhome.com,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229852+00:00
542,アクティブ住販（株）,東京都,八王子市,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=30&s=,active-j@ymail.plala.or.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229860+00:00
543,アザブトレーディング工業（株）,東京都,新宿区,,https://www.zennichi.net/hp/kanto_kaiin/pref.asp?p=13&pg=123&s=,sugwara@azabu-tk.co.jp,公式サイトなし,,,,公式サイトURLが未登録,,,0,2026-08-09T15:16:39.229869+00:00
